id,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes
term-00099,вишну,,personal_name,вишну,,conditional,no_diacritics_in_prose,,вишну [12] | Вишну [3],bvks_ru_chaitanya,vedabase_ru:adi/7/5/index.html:вишну | vedabase_ru:adi/7/advanced-view/index.html:вишну | vedabase_ru:adi/6/99/index.html:вишну | vedabase_ru:adi/6/28/index.html:вишну | vedabase_ru:adi/6/112/index.html:вишну,,needs_review,auto-generated draft
term-00115,Вриндаван,,place_name,Вриндаван,,no,no_diacritics_in_prose,,Вриндаван [4],bvks_ru_chaitanya,"vedabase_ru:madhya/17/39/index.html:Вриндаван — это трансцендентная обитель Господа. Там нет голода, гнева или жажды. Хотя люди и хищники — заклятые враги,  | vedabase_ru:madhya/21/44/index.html:Вриндаван — это сокровищница милости Кришны и сладчайших достояний супружеской любви. Именно там духовная энергия, прини | vedabase_ru:madhya/21/advanced-view/index.html:Вриндаван — это сокровищница милости Кришны и сладчайших достояний супружеской любви. Именно там духовная энергия, прини | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Вриндаван — (1) высшая трансцендентная обитель Верховного Господа Кришны; (2) деревня в Индии, расположенная в 150 км к ",,draft,auto-generated draft
term-00118,гаятри,,philosophical_term,гаятри,,conditional,no_diacritics_in_prose,,гаятри [9] | Гаятри [1],bvks_ru_chaitanya,vedabase_ru:bg/10/advanced-view/index.html:гаятри | vedabase_ru:bg/10/35/index.html:гаятри | vedabase_ru:10/87/23/index.html:гаятри | vedabase_ru:madhya/8/138/index.html:гаятри | vedabase_ru:madhya/8/advanced-view/index.html:гаятри,,needs_review,auto-generated draft
term-00122,госвами,,personal_name,госвами,,conditional,no_diacritics_in_prose,,госвами [106] | Госвами [6],bvks_ru_chaitanya,vedabase_ru:bg/6/26/index.html:госвами | vedabase_ru:bg/6/26/index.html:Госвами | vedabase_ru:bg/6/advanced-view/index.html:госвами | vedabase_ru:bg/6/advanced-view/index.html:Госвами | vedabase_ru:bg/6/42/index.html:госвами,,needs_review,auto-generated draft
term-00132,грихастха-ашрама,,philosophical_term,грихастха-ашрама,,yes,no_diacritics_in_prose,,грихастха-ашрама [1],our_ru_success,our_ru_success:Служение/Переводы Гурумахарадж/Успех/Как_я_достигла_настоящего_успеха_FINAL.docx:грихастха-ашрама,,draft,auto-generated draft
term-00147,даршан,,philosophical_term,даршан,,conditional,no_diacritics_in_prose,,даршан [5] | даршана [2] | Даршан [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Даршан — встреча с Верховным Господом или Его представителем | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:даршан | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:даршана,,needs_review,auto-generated draft
term-00150,Джаганнатх,,personal_name,Джаганнатх,,no,no_diacritics_in_prose,,Джаганнатх [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Джаганнатх — (1) Верховный Господь, властелин вселенной; (2) Божество Господа, которому поклоняются в Пури, штат Орисса",,draft,auto-generated draft
term-00161,ИСККОН,,philosophical_term,ИСККОН,,no,no_diacritics_in_prose,,ИСККОН [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:ИСККОН — Международное общество сознания Кришны, основано в 1966 году в Нью-Йорке Его Божественной Милостью А.Ч. Бхактив",,draft,auto-generated draft
term-00169,кришна-бхакти,,philosophical_term,кришна-бхакти,,yes,no_diacritics_in_prose,,кришна-бхакти [22] | Кришна-бхакти [2],bvks_ru_chaitanya,vedabase_ru:bg/9/3/index.html:кришна-бхакти | vedabase_ru:bg/9/advanced-view/index.html:кришна-бхакти | vedabase_ru:adi/7/advanced-view/index.html:кришна-бхакти | vedabase_ru:adi/16/11/index.html:кришна-бхакти | vedabase_ru:adi/16/advanced-view/index.html:кришна-бхакти,,needs_review,auto-generated draft
term-00176,лила,,philosophical_term,лила,,conditional,no_diacritics_in_prose,,лила [18] | Лила [1],bvks_ru_chaitanya,vedabase_ru:10/13/15/index.html:лила | vedabase_ru:11/2/40/index.html:лила | vedabase_ru:adi/14/22/index.html:лила | vedabase_ru:adi/14/advanced-view/index.html:лила | vedabase_ru:adi/14/37/index.html:лила,,needs_review,auto-generated draft
term-00184,лилах,,philosophical_term,лилах,,yes,no_diacritics_in_prose,,лилах [24],bvks_ru_chaitanya,vedabase_ru:11/3/31/index.html:лилах | vedabase_ru:adi/10/84/index.html:лилах | vedabase_ru:adi/10/138/index.html:лилах | vedabase_ru:adi/10/38/index.html:лилах | vedabase_ru:adi/10/144/index.html:лилах,,draft,auto-generated draft
