term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
брахма / Брахма,,"с прописной когда Господь/Абсолют, иначе строчная",conditional,,,,"Когда имеется в виду полубог, творец вселенной, то прямым с прописной. В других случаях, когда одно из следующих значений: милость Господа; жрецы на жертвоприношении; дух (если речь идет о живом существе или о живом существе и Господе), – курсивом со строчной."
брахма-бандху,,,yes,,,,Курсив.
брахма-бхута,,,yes,,,,Курсив.
брахма-вади,,,yes,слитно,,,Курсив. Не слитно?
Брахма-вайшнавы,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
брахма-видья,,,yes,,,,Курсив.
брахма-гьяни,,,yes,,,,Курсив.
брахма-джигьяса,,,yes,,,,Курсив.
брахмаджьоти,,,yes,,,,Курсив. Это слово среднего рода.
брахма-карма,,,yes,,,,Курсив. Брахманическая деятельность.
брахма-лока / Брахмалока,,с прописной/строчной — см. notes,conditional,через дефис / слитно,,,"Если имеется в виду сияние Брахмана, то курсивом, через дефис, со строчной. А если планета, то прямым, слитно, с прописной."
брахма-мимамса,,,yes,,,,Курсив.
брахма-мохана,,,yes,,,,Курсив. Иллюзия Господа Брахмы.
брахма-мухурта,,,yes,,,,Курсив.
брахман / Брахман / Брахманы,,"с прописной когда Господь/Абсолют, иначе строчная",conditional,,no,,"Если имеется в виду член сословия людей интеллектуального труда и жрецов, то курсивом со строчной: «жрец-брахман». Если имеется в виду безличный аспект Абсолютной Истины, то прямым с прописной: Брахман (и тогда это слово склоняется как неодушевленное: «постичь Брахман»). Если имеется в виду раздел Вед, то с прописной прямым без кавычек: Брахманы."
брахманда,,,yes,,,,Курсив.
брахмани,,,yes,,,,Курсив.
брахманизм,,,no,,,,Прямым шрифтом.
брахманический,,,no,,,,"Прямым шрифтом. Пример: «брахманическое посвящение», «брахманические качества», «брахманическая культура»."
брахманский,,,no,,,,"Прямым шрифтом. Примеры: «брахманский шнур», «брахманская семья», «брахманское сословие»."
брахманство,,,no,,,,Прямой шрифт.
брахма-ништха,,,yes,,,,Курсив.
брахманья-дева,,,yes,,,,Курсив.
брахма-ракшас,,,no,,,,Прямой шрифт.
брахма-рандхра,,,yes,,,,Курсив.
брахмарши,,,yes,,,,Курсив.
брахма-сатра,,,yes,,,,Курсив.
брахма-сва,,,yes,,,,Курсив.
брахмастра,,,yes,,,,Курсив.
брахма-теджас,,,yes,,,,Курсив.
брахмачари,,,yes,,,,Курсив.
брахма-шастра,,,yes,,,,Курсив.
Британская энциклопедия,,с прописной,,,,,С прописной первое слово. В словосочетании «Ежегодник Британской энциклопедии» с прописной первое и второе слово.
брихад-врата-брахмачари,,,,,,,
буддийский / буддистский,,,,,,,"Слово «буддийский» соотносится с существительным «буддизм». Оно означает также «свойственный буддизму, характерный для него», «принадлежащий буддизму», «исповедующий буддизм». Слово «буддистский» соотносится с существительным «буддист». Оно означает также «свойственный буддисту, характерный для него», «принадлежащий буддистам». Buddhist philosophy можно переводить «философия буддизма»."
бурфи,,,yes,,,,Курсив. В книгах Би-би-ти это слово среднего рода.
бхагавад-ануграха,,,yes,,,,Курсив.
бхагавад-бхакти,,,yes,,,,Курсив.
бхагавад-дхарма,,,yes,,,,Курсив.
бхагаван / Бхагаван,,,,,,,Объяснить. И склонение тж.
бхагавата,,,yes,,,«школа бхагавата»,"Курсив. Примеры: «школа бхагаваты» (а не «школа бхагавата»), «личность бхагавата», «система бхагаваты»."
бхагавата-видья,,,yes,,,,Курсив.
бхагавата-дхарма,,,yes,,,,Курсив.
бхагавата-катха,,,yes,,,,Курсив.
бхагаватам / «Бхагаватам»,,с прописной/строчной — см. notes,conditional,,yes,,"Если книга, то прямым с прописной в кавычках. В других случаях – курсив со строчной: «личность бхагаватам»."
бхагават-прасад,,,yes,,,,Курсив.
бхагават-таттва,,,yes,,,,Курсив.
