term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
Джи-би-си,,с прописной,,,no,,"Без кавычек, с прописной только первая буква. Это слово мужского рода."
джьештхи,,,no,,,,Вид живых существ. Пишется прямым. Родительный падеж множественного числа – джьештх.
джьоти,,,yes,,,,Курсив.
джьотиша,,,yes,,,,Курсив.
джьоти-шастра,,,yes,,,,Курсив.
джьотиштома,,,yes,,,,Курсив.
джьяиштха,,,yes,,,«джьештха»,Название месяца. Курсив. Не «джьештха».
дивья-юга,,,yes,,,,Курсив.
Дипавали,,с прописной,no,,,,Прямым с прописной.
дитя,,,,,,,"Склонение: род. – дитяти, дат. – дитяти, вин. – дитя, тв. – дитятею, предл. – о дитяти. В косвенных падежах употребляется редко. Обычно в этой роли используются косвенные падежи существительного «ребенок»."
дни лунного календаря,,с прописной/строчной — см. notes,conditional,,,,"Эти слова (экадаши, двадаши и т. д.) мужского рода. Отдельное слово пишется курсивом: «в прошлый экадаши». Если какой-то определенный день (т. е. сначала имя собственное), то всё словосочетание – прямым шрифтом, первое слово пишется с прописной, а санскритское название дня лунного календаря – после дефиса со строчной: Вамана-двадаши, Рама-навами, Хера-панчами, Гопаштами."
домотканый,,,,,,,Всегда с одним «н».
домохозяин,,,,,,,"Английское слово householder, так же как санскритские слова грихамедхи и грихастха, ничего не говорят о том, владеет ли человек своим домом, зато говорят о его гражданском статусе (человек женат). В русском же основное значение слова «домохозяин» – это «владелец дома, домовладелец». Есть еще одно значение, используемое исключительно в исторической литературе, – «глава самостоятельной семьи и отдельного крестьянского хозяйства», но даже оно не подходит для наших целей в силу его ограниченности историческими рамками и неизбежного замещения в понимании читателя первым и основным значением. Поэтому в переводе этих слов мы не говорим «домохозяин». Можно сказать «семейный человек»."
достичь,,,,,,,"Если встречается словосочетание «достичь кого-л.», то лучше отметить это место для редактора. А «достичь Кришну» – вообще некорректно, т. к. глагол «достичь» управляет родительным падежом."
дравиды,,,no,,,,Прямой шрифт.
Древний мир,,с прописной/строчной — см. notes,,,,,Как название эпохи пишется с прописной. В других случаях – со строчной.
древо,,,,,,«древа»,"Именительный падеж множественного числа слова «древо» – древеса, а не «древа». («Древа» – это родительный падеж единственного числа.) Поэтому во множественном числе мы говорим «деревья»: «деревья желаний»."
духовная душа,,,,,,,"В русских текстах Би-би-ти этого сочетания избегают (словесное излишество), а spirit soul часто переводят как «душа» или «вечная душа». Слово «вечная» (вместо «духовная») помогает сохранить важный смысловой оттенок: речь идет именно о вечной духовной частице, а не о пране и не о тонком теле."
дхама,,со строчной,conditional,,,,В географических названиях – со строчной прямым: Вриндавана-дхама. В других случаях курсивом.
дхама-васи,,,yes,через дефис,,,"Курсив, через дефис."
дхира-лалита,,,yes,через дефис,,,"Курсив, через дефис."
дхоти,,,yes,,,,Курсив.
Единый Абсолют,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, если имеется в виду Сам Господь."
жизнь и душа,,,,,,,Калька английского клише. Лучше сказать по-другому.
завидеть,,,,,,,Словари определяют это слово как просторечное.
за и против,,,,,no,,Без кавычек: «взвесить все за и против».
заменить,,,,,,«Заменить на что»,У п р а в л е н и е: кого-что кем-чем. «Заменить на что» – некорректно. Это относится также к глаголу замениться и к существительному замена.
заминдар,,,yes,,,,Курсив.
Запредельный Господь,,,,,,,
за счет,,,,,,,"Не рекомендуется употреблять этот предлог, когда нет никакой утраты одного за счет другого."
Земля,,с прописной/строчной — см. notes,,,,,"Если речь идет о мире, в котором люди живут, то это слово пишется со строчной. Если речь идет о планете, то с прописной."
зодиак,,со строчной,no,,,,Прямым со строчной: знаки зодиака.
играючи,,,,,,,"Слово «играючи» в современном языке является наречием и означает «легко, без всяких усилий, как будто шутя». Не следует путать его с деепричастием «играя». В качестве деепричастия «играючи» употребляется в художественной литературе при ориентации на народную речь и фольклор: По тесовым кровелькам играючи, Тучки серые разгоняючи, Заря алая подымается."
из жизни в жизнь,,,,,,,Вместо «из жизни в жизнь» в книгах Би-би-ти решено писать «жизнь за жизнью».
из-за,,,,,,,"Предлог «из-за» (со значением причины) обозначает причину, отрицательно влияющую на что-либо."
имперсональный,,,,,,,Это слово не употребляется в русских книгах Би-би-ти.
имя,,,,,,,"В конструкциях типа «носил имя Рамачандры» получается двусмысленность, поэтому лучше сказать «носил имя Рамачандра». То же самое и в конструкциях типа «известный под именем…»."
индра-гопа,,,yes,,,,Курсивом оба слова.
инкарнация,,,,,,,"В изданиях Би-би-ти это слово в настоящее время не употребляется. Мы говорим «воплощение», а в отдельных случаях, если этого требует контекст, можно сказать аватара или перестроить фразу («Господь нисходит...» и т.п.)."
Интернет,,с прописной/строчной — см. notes,,,,,"Существительное Интернет (в любом возможном значении) пишется с прописной. Первая часть сложных слов интернет- пишется со строчной буквы и присоединяется к последующей части дефисом: интернет-кафе, интернет-проект."
интерьер,,,,,,«внутренний интерьер»,"Словосочетание «внутренний интерьер» – избыточно, т. к. интерьер всегда внутренний."
интоксикация,,,,,,,"Слово «интоксикация» означает «отравление организма токсинами (ядовитыми веществами)». Поэтому, когда имеются в виду разного рода одурманивающие вещества или их намеренное употребление, нужно вместо «интоксикация» (а тем более «интоксикации» во множественном числе!) сказать «одурманивающие вещества» или «употребление одурманивающих веществ», в зависимости от контекста."
информация,,,,,,«Информация по…»,«Информация по…» – разговорная конструкция. Лучше – «информация о…».
ипостась,,,,,,«безличная ипостась Абсолюта»,"«Безличная ипостась», «безличная ипостась Абсолюта» – некорректно. Можно употреблять слово «ипостась» по отношению к формам Вишну, в том числе Параматме, но не по отношению к безличному Брахману. Также не надо называть Брахман, Параматму и Бхагавана «три ипостаси Абсолюта»."
ИСККОН,,,,,,,Это слово мужского рода. Не склоняется.
испросить,,,,,,,У п р а в л е н и е: что (а не чего).
ишвара,,,yes,,,,Курсив.
ишта-гоштхи,,,yes,через дефис,,,"Курсив, через дефис."
иудеохристианский / иудео-христианский,,,,,,,"«Иудеохристианский» – это общность. Все, что относится к региону, где возникли эти религии. «Иудеохристианские писания», т.е. оба Завета. Могут быть «иудеохристианские праздники» и т.д. «Иудео-христианский» – это взаимоотношения (между иудеями и христианами). Может быть «иудео-христианский диалог, война» и т.д."
йаду-пати,,,yes,,,,Курсив.
йог,,,yes,,,,Курсив.
йога,,,yes,,,,Курсив.
йогамайя / Йогамайя,,с прописной/строчной — см. notes,yes,слитно,,,"Это слово в русских текстах пишется слитно, не «йога-майя». Когда очень явное олицетворение («Господь сказал Йогамайе»), тогда с прописной без курсива, в остальных случаях – со строчной курсивом."
йоджана,,,yes,,,,Курсив. Одна йоджана равна примерно тринадцати километрам.
кадамба,,,yes,,,,Курсив: «дерево кадамба».
каджал,,,yes,,,,Курсив.
кайвалья,,,yes,,,,Курсив.
кайшора,,,,,,,
как то,,,,через дефис / раздельно,,,"Союз «как то» перед перечислением однородных членов теперь пишется раздельно. А наречие «как-то» – как и раньше, через дефис."
кала,,,,,,,Это слово среднего рода.
калпа,,,yes,,,,Курсив. Без мягкого знака.
кама-биджа,,,yes,,,,Курсив.
Кама-гаятри,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
камадхену,,,yes,слитно,,,"Курсив, слитно."
канджа,,,yes,,,,Курсив.
канчанара,,,yes,,,,Курсив. Без мягкого знака.
карана,,,yes,,,,Курсив. Род. падеж множ. числа – каран: «принадлежал к касте каран».
караталы,,,yes,,,,Курсив. Родительный падеж – каратал.
карма,,,yes,,,,Курсив.
картабхаджа,,,yes,,,,Курсив. Название апасампрадаи.
карттика,,,yes,,,,Курсив. С двумя «т».
каумара / Каумара,,с прописной,conditional,,,,"Если имеется в виду цикл творения материального мира, то прямым с прописной. Если детские годы, то курсив."
Каумодаки,,с прописной,no,,,,Прямым с прописной.
Каустубха,,с прописной,no,,,,Прямым с прописной. Пример: «носить на шее драгоценный камень Каустубха».
кашала-нати,,,yes,,,,Курсив. Каста брахманов.
каястха,,,yes,,,,Курсив. Родительный падеж множественного числа – каястх.
кивать,,,,,,«кивать (кивнуть) головой»,Словосочетание «кивать (кивнуть) головой» – избыточно.
кила-кинчита,,,yes,,,,Курсив. Без мягкого знака во втором слове.
киннары,,,no,,,,Прямым шрифтом.
кираты,,,yes,,,,Племя. Пишется курсивом. Именительный падеж единственного числа – кирата. Родительный падеж множественного числа – киратов.
кичри,,,yes,,,,Курсив. Это слово среднего рода.
комментарий,,,,,,«Комментарий на что-л.»,«Комментарий на что-л.» – некорректно. Правильно – «комментарий к чему-л.».
конечный,,,,,,,"Лучше избегать конструкций с этим словом («конечное прибежище» и т.п.), поскольку в одном из его значений это нечто ограниченное, в противоположность бесконечному. Исключение – «конечная цель»."
котары,,,no,,,,Вид живых существ. Пишется прямым. Родительный падеж множественного числа – котаров.
красная нить,,,,,no,,"В сочетаниях типа «проходить красной нитью» (т. е. выделяться, подчеркиваться в качестве основной идеи) кавычки не нужны."
кришна / Кришна,,с прописной,conditional,,,,"Если речь идет о Верховном Господе, то прямым с прописной. А если имеется в виду черный цвет, тогда курсив."
кришна-бахирмукха,,,yes,,,,Курсив.
кришна-бхаванамрита,,,yes,,,,Курсив.
кришна-бхакта,,,yes,,,,Курсив.
кришна-бхакти,,,yes,,,,Курсив.
кришна-дас,,,yes,,,,"Курсив. Пример употребления: «считает себя кришна-дасом, слугой Кришны»."
Кришна-Джанмаштами,,оба слова с прописной,no,,,,Оба слова с прописной прямым.
кришна-карма,,,yes,,,,Курсив.
кришна-катха,,,yes,,,,Курсив. Это словосочетание бывает и во множественном числе – кришна-катхи.
кришна-киртан,,,yes,,,,Курсив.
кришна-лила,,,yes,,,,Курсив.
кришна-нама,,,yes,,,,Курсив.
кришна-прасад,,,yes,,,,Курсив.
кришна-према,,,yes,,,,Курсив.
кришна-рати,,,yes,,,,Курсив.
кришна-таттва,,,yes,,,,Курсив.
кроша,,,yes,,,,"Мера длины: «Территория современного Вриндавана и его окрестностей, включая двенадцать лесов, – примерно восемьдесят четыре кроши, то есть четыреста тридцать пять квадратных километров, из которых сам город Вриндаван занимает шестнадцать крош (восемьдесят три квадратных километра)». Курсив."
кули,,,no,,,,Прямым шрифтом.
Кумбха-мела,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
кунда,,с прописной,conditional,,,,В составных географических названиях – прямым и с прописной: Радха-Кунда. В остальных случаях – курсивом.
кункума,,,yes,,,,Курсив.
курма-мурти,,,yes,,,,Всё курсивом.
кушманды,,,no,,,,Вид живых существ. Пишется прямым. Родительный падеж множественного числа – кушмандов.
кханда,,,conditional,,,,"Если имеется в виду определенная глава какой-то книги, то прямым: Уттара-кханда «Курма-пураны». В других случаях курсивом: «Во второй главе второй кханды «Веданта-сутры»…», «Кхандой или варшей называется долина между двумя горами»."
кхасы,кхаши,,,,,,Исправлять на кхаши.
кхаши,,,yes,,,,Курсив. Родительный падеж множественного числа – кхашей: «представители расы кхашей».
кхечари,,,yes,,,,Курсив.
кхир,,,yes,,,,Курсив.
кшатрий,,,yes,,,,Курсив.
кшатрийский,,,no,,,,Прямым шрифтом.
кшетра-гья,,,yes,через дефис,,,"Курсив, через дефис."
лакх,лакша,,,,,,Исправлять на лакша.
лакша,,,yes,,,,"Курсив. Единица счисления, означает сто тысяч. Род. падеж множественного числа – лакш."
Лакшми-виджая,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
Лакшми-виджайотсава,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной. См. также утсава."
лжегуру,,,no,слитно,,,"Слитно, прямым."
лжесанньяси,,,no,слитно,,,"Слитно, прямым."
лишенный,,,,,,,"«Лишить» можно чего-то ценного, поэтому такие сочетания, как «лишенный недостатков», «лишенная страданий», следует заменять. Можно, например, сказать «свободный от недостатков». Кроме того, не стоит употреблять это слово по отношению к Богу, потому что никто не может лишить Господа чего-либо. Исключение составляют те случаи, когда описываются богохульственные взгляды майявади, но, даже передавая эти взгляды, часто бывает лучше сказать не «лишен», а «(они говорят, что) у Господа нет...» и т. п."
локализованная Параматма,,,,,,,"В русских книгах Би-би-ти это выражение (так же как «локализованный аспект Личности Бога» и т.п.) не употребляется. Вообще нужно избегать страдательных причастий, если они относятся к Богу (см. Причастия в «Стилистике»)."
магха,,,yes,,,,Курсив.
Магха-мела,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
мадхья,,,yes,,,,Курсив. Единица счисления. Род. падеж множественного числа – мадхьев.
майя,,,yes,,,,Курсив.
майявада,,,yes,,,,Курсив.
майявади,,,yes,слитно,,,"Курсив, слитно."
майяяпахрита-гьяни,,,yes,,,,Курсив.
Макара-санкранти,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
маллика,,,yes,,,,Это жасмин. Курсив.
манвантара,,с прописной,conditional,,,,"Если это слово – часть названия какой-то манвантары, тогда оно – прямым с прописной: Ауттама-манвантара Брахма-саварнья-манвантара Вайвасвата-манвантара Дакша-саварнья-манвантара Дева-саварнья-манвантара Дхарма-саварнья-манвантара Индра-саварнья-манвантара Райвата-манвантара Рудра-саварнья-манвантара Саварнья-манвантара Сварочиша-манвантара Сваямбхува-манвантара Тамаса-манвантара Чакшуша-манвантара Если же оно идет отдельно («в эту манвантару»), тогда курсивом."
манго,,,,,,,Это слово среднего рода.
мандир,,со строчной,conditional,через дефис,,,"Если это слово – часть названия мандира, тогда всё название пишется через дефис, а слово «мандир» после дефиса – прямым со строчной: Гундича-мандир. В таких словосочетаниях склоняется только слово «мандир». Отдельное слово пишется курсивом."
манобхава,,,yes,слитно,,,"Слитно, курсив."
манодхарма,,,yes,слитно,,,"Слитно, курсив."
мантра,,,yes,,,,Курсив.
мантра  гаятри,,,yes,,,,Всё курсивом.
мантра-медитация,,,yes,,,,Первое слово курсивом.
мантра Харе Кришна,,,conditional,,,,"«Мантра» – курсивом, остальное прямым."
мараката,,,yes,,,,Курсив. Пример: «из драгоценного камня мараката».
марг,,,yes,,,«марга»,"Курсив. Если отдельное слово, то «марг», а не «марга». Но в некоторых словосочетаниях, если не последнее слово, может быть с конечным «а»: рага-марга-бхакти."
маргаширша,,,yes,,,,Курсив.
мартья-лока,,,yes,через дефис,,,"Курсив, через дефис."
Марш мира,,с прописной,,,,,В этом словосочетании первое слово пишется с прописной.
матрика / матрики,,,conditional,,,,"Если имеется в виду магический квадрат с цифрами, то курсивом. Если вид живых существ, то прямым: «от матрик»."
матх,,со строчной,conditional,через дефис,,,"Если какой-то определенный матх, то через дефис и слово «матх» пишется прямым со строчной: Гаудия-матх, Джьотир-матх. В таких словосочетаниях склоняется только слово «матх». Отдельное слово пишется курсивом."
матхура-лила,,,yes,,,,Курсив.
маха-бхава / махабхава,,,,через дефис / слитно,,,"Правильны оба варианта – и через дефис, и слитно. Обычно следуют английскому тексту."
маха-бхагавата,,,yes,,,,Курсив.
маха-ваданьяватара,,,yes,,,,"Курсив. Если во втором слове нужен перенос после «ваданья», то переносят так: маха-ваданья-аватара."
махаджана,,,yes,,,,Курсив. Родительный падеж множественного числа – махаджан.
махамайя / Махамайя,,с прописной/строчной — см. notes,yes,слитно,,,"Это слово в русских текстах пишется слитно, не «маха-майя». Когда очень явное олицетворение, тогда с прописной без курсива, в остальных случаях – со строчной курсивом."
маха-мантра,,,yes,через дефис,,,"Курсив, через дефис."
маха-мантра Харе Кришна,,,conditional,,,,"«Маха-мантра» – курсивом, «Харе Кришна» – прямым."
маханаги,,,no,слитно,,,Вид живых существ. Пишется слитно прямым.
маха-патра,,,yes,через дефис,,,"Курсив, через дефис."
маха-прасад,,,yes,через дефис,,,"Курсив, через дефис."
Маха-пурана,,первое слово с прописной,no,,,,"Всё прямым, первое слово с прописной."
маха-ратха,,,yes,через дефис,,,"Курсив, через дефис."
махатма,,,yes,,,,Курсив.
маха-юга,,,yes,,,,Всё курсивом.
махотсава,,с прописной/строчной — см. notes,conditional,,,,В сочетании с именем собственным – прямым шрифтом с прописной: Нанда-махотсава. В остальных случаях – курсивом со строчной.
Международное общество сознания Кришны,,с прописной/строчной — см. notes,,,,,В этом словосочетании с прописной два слова – «Международное» и «Кришны». Остальные – со строчной.
мела,,со строчной,conditional,,,,"В сочетаниях типа Магха-мела, Кумбха-мела слово «мела» – прямым шрифтом со строчной. В остальных случаях – курсив."
мелкодробленый,,,,,,,Всегда с одним «н».
мериться,,,,,,«меряешься»,"Взаимно сравнивать, сопоставлять свои возможности в каком-л. отношении с возможностями кого-л. или чего-л. Спряжение: мерюсь, меришься. Совершенный вид – помериться (не «померяться»). «Меряться», «меряюсь», «меряешься» – устарелое и просторечное."
микроб,,,,,,,Слово «микроб» чаще употребляется в обычных текстах как одушевленное существительное: «…убивает всех известных микробов».
мили,,,no,,,,"Мили в русских изданиях Би-би-ти, как правило, переводятся в километры (сухопутная миля равна 1,609 км). Если получилось дробное число, округляют. Иногда (например, в прямой речи и вообще в тех случаях, когда современные меры длины и площади совсем не вписываются в древний контекст) лучше перевести мили не в километры, а в йоджаны или кроши."
миновать,,,,,,«проходить через»,"Слово «миновать» означает «проходить, проезжать мимо кого-л. или чего-л., рядом с кем-л. или с чем-л., оставляя позади или в стороне». Употребление слова «миновать» в значении «проходить через» – ошибочно."
млеччха,,,yes,,,,Курсив. Родительный падеж множественного числа – млеччхов.
мриданга,,,yes,,,,Курсив.
мукта-бандхана,,,,,,,
мукти,,,yes,,,,Курсив. Это слово среднего рода.
мукунда-прештха,,,yes,,,,Курсив.
мураки-нати,,,yes,,,,Курсив. Каста брахманов.
мурти,,,yes,,,,Курсив. Это слово – женского рода.
набоб,,со строчной,no,,,,Прямым шрифтом со строчной.
навряд,,,,,,,Просторечное. Можно сказать «вряд ли».
навряд ли,,,,,,,"В отличие от стилистически нейтральной «вряд ли» частица «навряд ли» является разговорной. Поэтому она наиболее уместна в контекстах непринужденного характера, в обычном, обиходном разговоре и т. п. Вне таких условий употребление разговорной частицы «навряд ли» неуместно. Можно сказать «вряд ли», «едва ли»."
нага / наги,,,conditional,,,,Если растение – курсивом. Если вид живых существ – прямым.
Нага-панчами,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной. Второе слово – без мягкого знака."
наделенный,,,,,,,"Следует избегать этого слова, говоря о Боге (за исключением редких случаев, когда приводятся чьи-то богохульственные взгляды). Встречается, например, «Господь наделен всеми совершенствами», но разве можно чем-то наделить Бога?"
наика,,,yes,,,,Курсив.
найшкарма,,,yes,,,,Курсив.
найшкармья,,,yes,,,,Курсив.
найштхика-брахмачари,,,yes,,,,Курсив.
найяики,,,yes,,,,Курсив. В единственном числе – найяик.
наложить на себя руки,,,,,,,Устарелое.
намабхаса,,,yes,слитно,,,"Курсив, слитно."
Нандотсава,,с прописной,no,,,,Прямым с прописной.
на ощупь,,,,раздельно,,,Всегда пишется раздельно.
нарадхама,,,yes,,,,"Курсив. Примеры: «Людей, живущих в обществе с развитой социальной и политической структурой, но не следующих законам религии, называют нарадхамами», «люди, относящиеся к категории нарадхама», «Нарадхама, отвергнутый Господом, может возродить свое духовное сознание только по милости преданного»."
наяка,,,yes,,,,Курсив.
неарий,,,no,слитно,,,Слитно прямым.
небрахман,,,no,слитно,,,Слитно прямым.
не(взирая),,,,слитно / раздельно,,,"В словосочетании «невзирая на лица» невзирая всегда пишется слитно. «Невзирая ни на что»: если употреблено в значении «непременно, при любых обстоятельствах», то невзирая пишется слитно. Если «не взирая» имеет значение «не глядя», то оно пишется раздельно."
неглаженый,,,,,,,Всегда с одним «н».
неда,,,yes,,,,Курсив. Название апасампрадаи.
недолго думая,,,,слитно,,,Здесь «недолго» пишется слитно.
незваный,,,,,,,Всегда с одним «н».
некормленый,,,,,,,Всегда с одним «н».
некрашеный,,,,,,,Всегда с одним «н».
немереный,,,,,,,Всегда с одним «н».
немощеный,,,,,,,Всегда с одним «н».
не оберешься,,,,,,,Это выражение означает «много».
неописуемый,,,,,,,"Одно из значений этого слова – «не поддающийся описанию словами», поэтому словосочетание «неописуемый словами» избыточно (и некорректно)."
непаханый,,,,,,,Всегда с одним «н».
непрошеный,,,,,,,Всегда с одним «н».
несчитаный,,,,,,,Всегда с одним «н».
нети нети,,,yes,,,,Курсив.
нимба,,,yes,,,,"Курсив. Примеры: «плоды нимба», «под деревом нимба», «суп сукта с горькими листьями нимбы»."
ни на шаг не покидать,,,,,,«Ни на шаг не покидать…»,«Ни на шаг не покидать…» – некорректно. (Ни на шаг можно не отходить или не отставать.) Можно сказать «не ступать и шага за пределы …».
нипуна-буддхаях,,,,,,,
нирвана,,,yes,,,,Курсив.
ниргуна,,,yes,,,,"Курсив. Примеры: «Абсолютную Истину, Верховного Господа, называют ниргуна». «Тот, кто следует наставлениям Самого Бога… постепенно становится ниргуна». «Тот, кто стал ниргуна»."
Нобелевская премия,,с прописной,,,,,С прописной первое слово. То же и в словосочетании «Нобелевская премия мира».
Новый год,,с прописной/строчной — см. notes,,,,,"В этом названии праздника первое слово пишется с прописной, второе – со строчной."
Новый Завет,,оба слова с прописной,,,,,В этом названии раздела Библии оба слова с прописной.
Нрисимха-чатурдаши,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
ньяя,,,yes,,,,Курсив.
обитать,,,,,,"«Господь (Параматма, чатур-вьюха и т.п.) обитает (в сердце, духовном мире и т.п.)»","«Господь (Параматма, чатур-вьюха и т.п.) обитает (в сердце, духовном мире и т.п.)» – некорректно. Можно сказать «пребывает» или «живет»."
обнятие,,,,,,,Такого слова нет. Нужна замена.
обратить,,,,,,,"Если в тексте сказано что-то вроде «он стремился обратить безбожников при помощи…», то нужно дополнить или изменить текст, так как непонятно, во что обратить. То же касается и существительного «обращение»."
обхитрить,,,,,,,Разговорное.
Одана-шаштхи,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
одеть,,,,,,,"Глагол «одеть» обозначает действие, обращенное на другое лицо или предмет: «одеть ребенка», «одевать куклу». Неправильным является употребление его вместо глагола «надеть», обозначающего действие, обращенное на самого производителя этого действия, и в конструкциях с предлогом «на» – действие, обращенное на другое лицо или предмет. Так, надо говорить не «одеть пальто», а «надеть пальто»."
омкара,,с прописной,yes,,,,"Курсив. Лучше не употреблять это слово в женском роде, особенно когда об омкаре говорится как о воплощении Господа. То есть в таких случаях нужен мужской род. Когда подчеркивается, что омкара – это Сам Всевышний, местоимения, относящиеся к этому слову, пишутся с прописной: «Он (звук ом) есть начало, середина и конец, при этом Сам Он не имеет начала»."
опровергать,,,,,,,У п р а в л е н и е: что.
Организация Объединенных Наций,,с прописной,,,,,В этом словосочетании все слова с прописной.
орегано,,,,,,,Лучше заменять его русским словом – душица.
освободиться,,,,,,,"Корректно: «освободиться от рабства материи», «освободиться из плена материи»."
оскорбление,,,,,,«Он совершил оскорбление кого-л.»,Конструкции типа «Он совершил оскорбление кого-л.» – некорректны. Правильно – «Он нанес оскорбление кому-л.».
осознать,,,,,,,"Если в тексте встретилось сочетание «осознать Бога (Кришну)», «осознавший Меня» и т.п., следует отметить это место для редактора. Осознают что, а не кого."
осудить,,,,,,,"Одно из значений глагола «осудить» – «признав виновным, вынести приговор, установив какую-либо меру наказания». В этом значении глагол «осудить» употребляется без дополнения или в сочетании с винительным падежом с предлогом на, если мера наказания указывается: «он был осужден», «осудить на три года». В результате смешения конструкции осудить на что с конструкцией близкого по значению глагола приговорить (приговорить к чему: приговорить к ссылке) глагол осудить нередко ошибочно используется в конструкции «осудить к чему»: «осужден к смертной казни», «осужден к лишению свободы». Корректно – «осужден на смертную казнь», «приговорен к смертной казни», «приговорен к лишению свободы»."
отличие,,,,,,«Отличие между (тем-то и тем-то)»,«Отличие между (тем-то и тем-то)» – некорректно. Здесь требуется слово «различие».
отнюдь,,,,,,,"Всегда перед отрицанием: «Отнюдь не намерен спорить», «Отнюдь нет». Неправильно употреблять без отрицания в значении «нет, нисколько»."
отреченный,,,,,,,"«Отреченный уклад жизни», «отреченный образ жизни» – в русских книгах Би-би-ти такие выражения не используются."
отчаяние,,,,,,,В предложном падеже правильно: «в отчаянии» и (в поэтической и разговорной речи) «в отчаянье».
отчет,,,,,,,"Существительное «отчет» входит в состав устойчивого словосочетания «давать (отдавать) себе отчет (в чем-либо)», имеющего значение «полностью осознавать, понимать (что-либо)». Словосочетание «давать (отдавать) себе отчет» управляет предложным падежом с предлогом в: «давать себе отчет в трудности положения», «отдавать себе отчет в том, что происходит». Употребление оборота «давать (отдавать) отчет» без зависимых слов – некорректно, просторечно (как, например, «Дай себе отчет, что ты сделал?», «Ты отдаешь себе отчет?», «Мы отдаем отчет, что до конца эти проблемы собственными силами не решить», «Ты отдаешь отчет своим действиям?»)."
падший,,,,,,«самый падший»,"«Слишком падший», «самый падший» – неудачные выражения."
Пандав,,с прописной,no,,,,Прямым шрифтом с прописной.
пандит,,с прописной,conditional,,,,"Если отдельное слово, то курсив. Если после имени, то прямым с прописной: Шриман Пандит. Если слово «пандит» стоит перед именем (что в книгах Шрилы Прабхупады встречается редко), то обычно оно пишется прямым с прописной: Пандит Чанакья, Пандит Гададхара, Пандит Вакрешвара. В обычной литературе, когда титул воспринимается как часть имени, тоже с прописной: Пандит Неру. В тексте типа «…прославленного пандита (имя)» – лучше курсивом."
Панду-виджая,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
панир,,,yes,,,,Курсив.
паннаги,,,no,,,,Вид живых существ. Пишется прямым. Родительный падеж множественного числа – паннагов.
панча-гауда-брахманы,,,yes,,,,"Курсив, без мягкого знака в первом слове."
панча-дакшинатья-брахманы,,,yes,,,,"Курсив, без мягкого знака в первом слове."
Панчаджанья,,с прописной,no,,,,"Без мягкого знака, прямым с прописной. Пример: «Тогда Кришна затрубил в Свою раковину Панчаджанья»."
панчаратра / панчаратрика,,со строчной,yes,,,,"Сочетание «система панчаратры» в русских переводах не используется, даже если оно употреблено в оригинале. Мы говорим или «система панчаратрики» (второе слово со строчной курсивом), или что-нибудь вроде «предписания ""Панчаратры""», имея в виду произведение."
панчаратрика-виддхи,,,yes,,,,Курсив. Это слово – женского рода.
Панча-таттва,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной. Местоимения, относящиеся к этому слову, пишутся с прописной."
панча-ягья,,,yes,,,,Курсив.
панчопасаки,,,yes,,,,Курсив. Это приверженцы школы панчопасаны. Родительный падеж множественного числа – панчопасаков.
панчопасана,,,yes,,,,"Курсив. Примеры: «школа панчопасаны», «метод панчопасаны»."
Парабрахман,,,,,,,Склоняется как неодушевленное: «знает Парабрахман».
паравьома,,,yes,слитно,,,"Курсив, слитно."
пара-духкха-духкхи,,,,,,,
Парама-Пуруша,,оба слова с прописной,conditional,через дефис,,,"Верховный Господь. Прямым шрифтом, через дефис, оба слова с прописной. А курсивом не бывает?"
Параматма,,с прописной,,,,,"Местоимения, относящиеся к этому слову, пишутся с прописной. ШБ 5.1, стр.361: «Есть два типа живых существ: дживатма и параматма, или индивидуальная душа и Высшая Душа».)"
пара-таттва,,,yes,через дефис,,,"Курсив, через дефис."
параферналии,,,,,,,"Такого слова в русском языке нет. В зависимости от контекста можно переводить paraphernalia словами «атрибуты», «личные вещи», «предметы (используемые для поклонения и т.п.)», «принадлежности (например, обрядовые)», «регалии», «аксессуары», «окружение», «обстановка», «утварь» и т. д."
париджата,,,yes,,,,"Курсив. Примеры: «цветок париджата», «дерево париджата»."
патаны,,,no,,,«патханы»,Прямой шрифт. Не «патханы».
пауганда,,,yes,,,,"Курсив. Возраст с 5 до 10 лет (т.е. пауганда начинается, когда ребенку исполняется 5 лет). Иногда паугандой называют весь период с момента, когда ребенку исполнилось 5 лет, и до 15-летия."
паундры,,,yes,,,,Племя. Курсив. Родительный падеж множественного числа – паундров.
пауша,,,yes,,,,Курсив.
Пашупата,,с прописной,no,,,,Прямым с прописной. Пример: «подарил оружие Пашупата».
