id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00150,джаганнатх,Джаганнатх,,personal_name,Джаганнатх,,no,no_diacritics_in_prose,,Джаганнатх [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Джаганнатх — (1) Верховный Господь, властелин вселенной; (2) Божество Господа, которому поклоняются в Пури, штат Орисса",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00161,исккон,ИСККОН,,philosophical_term,ИСККОН,,no,no_diacritics_in_prose,,ИСККОН [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:ИСККОН — Международное общество сознания Кришны, основано в 1966 году в Нью-Йорке Его Божественной Милостью А.Ч. Бхактив",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00169,кришна-бхакти,кришна-бхакти,,philosophical_term,кришна-бхакти,,yes,no_diacritics_in_prose,,кришна-бхакти [22] | Кришна-бхакти [2],bvks_ru_chaitanya,vedabase_ru:index.html:кришна-бхакти | vedabase_ru:index.html:Кришна-бхакти | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:кришна-бхакти,,needs_review,auto-generated draft,yes,кришна-бхакти [22] | Кришна-бхакти [2],vedabase_ru [23] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00176,лила,лила,,philosophical_term,лила,,conditional,no_diacritics_in_prose,,лила [18] | Лила [1],bvks_ru_chaitanya,vedabase_ru:index.html:лила | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Лила — трансцендентная игра Господа и Его чистых преданных,,needs_review,auto-generated draft,yes,лила [18] | Лила [1],vedabase_ru [18] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00184,лилах,лилах,,philosophical_term,лилах,,yes,no_diacritics_in_prose,,лилах [24],bvks_ru_chaitanya,vedabase_ru:index.html:лилах | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:лилах,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00186,майявади,майявади,,philosophical_term,майявади,,conditional,no_diacritics_in_prose,,майявади [390] | Майявади [82],bvks_ru_chaitanya,vedabase_ru:index.html:майявади | vedabase_ru:index.html:Майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Майявади — последователь философии майявады | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:майявади,,needs_review,auto-generated draft,yes,майявади [390] | Майявади [82],vedabase_ru [462] | bvks_ru_chaitanya [10],high,review,,,,,,,
term-00187,майяпур,Майяпур,,place_name,Майяпур,,no,no_diacritics_in_prose,,Майяпур [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Майяпур — место явления Шри Чайтаньи Махапрабху, расположенное в Западной Бенгалии",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00195,матхура,Матхура,,place_name,Матхура,,no,no_diacritics_in_prose,,Матхура [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Матхура — святое место рождения Кришны, расположенное недалеко от Вриндавана, в настоящее время — город в штате Уттар-пр",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00201,навадвипа,Навадвипа,,place_name,Навадвипа,,no,no_diacritics_in_prose,,Навадвипа [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Навадвипа — (1) современный город Навадвипа; (2) святая земля вокруг Майяпура, которая служила местом для игр Шри Чайтан",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00215,пури,Пури,,place_name,Пури,,no,no_diacritics_in_prose,,Пури [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Пури — (1) город, расположенный в штате Орисса; трансцендентная обитель Господа Джаганнатхи; (2) титул санньяси",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00216,рага-бхакти,рага-бхакти,,philosophical_term,рага-бхакти,,yes,no_diacritics_in_prose,,рага-бхакти [8],bvks_ru_chaitanya,vedabase_ru:index.html:рага-бхакти | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:рага-бхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00225,санньяси,санньяси,,philosophical_term,санньяси,,conditional,no_diacritics_in_prose,,санньяси [524] | санньясу [206] | санньясы [64] | Санньяси [56] | санньяса [21] | санньясой [6] | санньясе [2] | Санньяса [1],bvks_ru_chaitanya,vedabase_ru:index.html:санньяси | vedabase_ru:index.html:санньяса | vedabase_ru:index.html:санньясу | vedabase_ru:index.html:Санньяси | vedabase_ru:index.html:санньясой,,needs_review,auto-generated draft,yes,санньяси [524] | санньясу [206] | санньясы [64] | Санньяси [56] | санньяса [21] | санньясой [6] | санньясе [2] | Санньяса [1],vedabase_ru [826] | bvks_ru_chaitanya [51] | our_ru_success [3],high,review,,,,,,,
term-00236,санньяси-майявади,санньяси-майявади,,philosophical_term,санньяси-майявади,,yes,no_diacritics_in_prose,,санньяси-майявади [117] | Санньяси-майявади [41],bvks_ru_chaitanya,vedabase_ru:index.html:Санньяси-майявади | vedabase_ru:index.html:санньяси-майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:санньяси-майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Санньяси-майявади,,needs_review,auto-generated draft,yes,санньяси-майявади [117] | Санньяси-майявади [41],vedabase_ru [154] | bvks_ru_chaitanya [4],high,review,,,,,,,
term-00238,санодия-брахманам,санодия-брахманам,,philosophical_term,санодия-брахманам,,yes,no_diacritics_in_prose,,санодия-брахманам [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:санодия-брахманам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00279,шакта,Шакта,,philosophical_term,Шакта,,conditional,no_diacritics_in_prose,,шактами [5] | Шакта [1],bvks_ru_chaitanya,"vedabase_ru:index.html:шактами | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шакта — почитатель богини Дурги, олицетворенной материальной энергии | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шактами",,needs_review,auto-generated draft,yes,шактами [5] | Шакта [1],vedabase_ru [4] | bvks_ru_chaitanya [2],high,review,,,,,,,
term-00283,шастр,шастр,,philosophical_term,шастр,,conditional,no_diacritics_in_prose,,шастр [225] | шастрах [103] | шастры [69] | шастрами [25] | шастрам [22] | Шастры [15] | шастре [5] | шастра [4] | шастру [2] | шастрой [2] | Шастра [2],bvks_ru_chaitanya,vedabase_ru:index.html:шастр | vedabase_ru:index.html:шастрах | vedabase_ru:index.html:шастры | vedabase_ru:index.html:шастрами | vedabase_ru:index.html:Шастры,,needs_review,auto-generated draft,yes,шастр [225] | шастрах [103] | шастры [69] | шастрами [25] | шастрам [22] | Шастры [15] | шастре [5] | шастра [4] | шастру [2] | шастрой [2] | Шастра [2],vedabase_ru [471] | bvks_ru_chaitanya [3],high,review,,,,,,,
term-00285,шри,шри,,honorific,шри,,conditional,no_diacritics_in_prose,,шри [4] | Шри [1],bvks_ru_chaitanya,"vedabase_ru:index.html:шри | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,needs_review,auto-generated draft,yes,шри [4] | Шри [1],vedabase_ru [4] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00293,шри-кришна-санкиртане,шри-кришна-санкиртане,,honorific,шри-кришна-санкиртане,,yes,no_diacritics_in_prose,,шри-кришна-санкиртане [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шри-кришна-санкиртане,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00295,шрила,Шрила,,honorific,Шрила,,no,no_diacritics_in_prose,,Шрила [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00298,шримати,Шримати,,honorific,Шримати,,no,no_diacritics_in_prose,,Шримати [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шримати — соответствует «Шри», употребляется с женскими именами",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00303,шрипада,Шрипада,,honorific,Шрипада,,no,no_diacritics_in_prose,,Шрипада [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00308,шукадева госвами,Шукадева Госвами,,personal_name,Шукадева Госвами,,no,no_diacritics_in_prose,,Шукадева Госвами [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шукадева Госвами — великий мудрец, рассказчик «Шримад-Бхагаватам",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00314,экадаши,экадаши,,philosophical_term,экадаши,,conditional,no_diacritics_in_prose,,экадаши [38] | Экадаши [1],bvks_ru_chaitanya,"vedabase_ru:index.html:экадаши | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Экадаши — одиннадцатый день убывающей и прибывающей луны, в который вайшнавы воздерживаются от употребления в пищу зерна | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:экадаши",,needs_review,auto-generated draft,yes,экадаши [38] | Экадаши [1],vedabase_ru [36] | bvks_ru_chaitanya [3],high,review,,,,,,,
term-00318,юга,юга,,philosophical_term,юга,,conditional,no_diacritics_in_prose,,юга [3] | Юга [1],bvks_ru_chaitanya,"vedabase_ru:index.html:юга | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Юга — один из четырёх циклически повторяющихся периодов, через которые проходит в своём развитии вселенная",,needs_review,auto-generated draft,yes,юга [3] | Юга [1],vedabase_ru [3] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00324,ямуна,Ямуна,,place_name,Ямуна,,no,no_diacritics_in_prose,,Ямуна [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ямуна — священная река, истоки которой находятся в Гималаях. В Праяге сливается с Гангой",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
