id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-13058,смрити-шастре,смрити-шастре,,philosophical_term,смрити-шастре,,yes,no_diacritics_in_prose,,смрити-шастре [2],vedabase_ru,vedabase_ru:index.html:смрити-шастре,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13466,тамо-гуна,тамо-гуна,,philosophical_term,тамо-гуна,,yes,no_diacritics_in_prose,,тамо-гуна [1],vedabase_ru,vedabase_ru:index.html:тамо-гуна,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13492,тантра-шастр,тантра-шастр,,philosophical_term,тантра-шастр,,yes,no_diacritics_in_prose,,тантра-шастр [2],vedabase_ru,vedabase_ru:index.html:тантра-шастр,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13493,тантра-шастре,тантра-шастре,,philosophical_term,тантра-шастре,,yes,no_diacritics_in_prose,,тантра-шастре [5],vedabase_ru,vedabase_ru:index.html:тантра-шастре,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13615,таттвавади шастры,таттвавади шастры,,philosophical_term,таттвавади шастры,,yes,no_diacritics_in_prose,,таттвавади шастры [2],vedabase_ru,vedabase_ru:index.html:таттвавади шастры,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13812,триданди-санньяси,триданди-санньяси,,philosophical_term,триданди-санньяси,,yes,no_diacritics_in_prose,,триданди-санньяси [5],vedabase_ru,vedabase_ru:index.html:триданди-санньяси,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14331,уттама-бхакти,уттама-бхакти,,philosophical_term,уттама-бхакти,,yes,no_diacritics_in_prose,,уттама-бхакти [1] | Уттама-бхакти [1],vedabase_ru,vedabase_ru:index.html:уттама-бхакти | vedabase_ru:index.html:Уттама-бхакти,,needs_review,auto-generated draft,yes,уттама-бхакти [1] | Уттама-бхакти [1],vedabase_ru [2],high,review,,,,,,,
term-14359,утхалила,утхалила,,philosophical_term,утхалила,,yes,no_diacritics_in_prose,,утхалила [6],vedabase_ru,vedabase_ru:index.html:утхалила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14368,учхалила,учхалила,,philosophical_term,учхалила,,yes,no_diacritics_in_prose,,учхалила [4],vedabase_ru,vedabase_ru:index.html:учхалила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14603,хора-шастра-вит,хора-шастра-вит,,philosophical_term,хора-шастра-вит,,yes,no_diacritics_in_prose,,хора-шастра-вит [2],vedabase_ru,vedabase_ru:index.html:хора-шастра-вит,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14604,хора-шастрами,хора-шастрами,,philosophical_term,хора-шастрами,,yes,no_diacritics_in_prose,,хора-шастрами [2],vedabase_ru,vedabase_ru:index.html:хора-шастрами,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14729,чалила,чалила,,philosophical_term,чалила,,yes,diacritics_in_quotes_only,,чалила̄ [38] | чалила [5],vedabase_ru,vedabase_ru:index.html:чалила̄ | vedabase_ru:index.html:чалила,,needs_review,auto-generated draft,yes,чалила̄ [38] | чалила [5],vedabase_ru [43],high,review,,,,,,,
term-15073,шакта,Шакта,,philosophical_term,Шакта,,no,no_diacritics_in_prose,,Шакта [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шакта — почитатель богини Дурги, олицетворенной материальной энергии",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15074,ш́актайах̣,ш́актайах̣,,philosophical_term,ш́актайах̣,,yes,needs_review,,ш́актайах̣ [2],vedabase_ru,vedabase_ru:index.html:ш́актайах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15075,шактами,шактами,,philosophical_term,шактами,,yes,no_diacritics_in_prose,,шактами [5],bvks_ru,vedabase_ru:index.html:шактами | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шактами,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15179,шастр,шастр,,philosophical_term,шастр,,yes,no_diacritics_in_prose,,шастр [213],bvks_ru,vedabase_ru:index.html:шастр | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шастр,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15180,шастр (нигамана),шастр (нигамана),,philosophical_term,шастр (нигамана),,yes,no_diacritics_in_prose,,шастр (нигамана) [2],vedabase_ru,vedabase_ru:index.html:шастр (нигамана),,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15181,шастра,шастра,,philosophical_term,шастра,,yes,diacritics_in_quotes_only,,ш́а̄стра [71] | ш́астра [14] | Ш́а̄стра [2] | шастра [2] | Шастра [1],vedabase_ru,vedabase_ru:index.html:ш́астра | vedabase_ru:index.html:ш́а̄стра | vedabase_ru:index.html:Шастра | vedabase_ru:index.html:Ш́а̄стра | vedabase_ru:index.html:шастра,,needs_review,auto-generated draft,yes,ш́а̄стра [71] | ш́астра [14] | Ш́а̄стра [2] | шастра [2] | Шастра [1],vedabase_ru [90],high,review,,,,,,,
term-15182,ш́а̄стра-видхи,ш́а̄стра-видхи,,philosophical_term,ш́а̄стра-видхи,,yes,needs_review,,ш́а̄стра-видхи [2],vedabase_ru,vedabase_ru:index.html:ш́а̄стра-видхи,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15183,ш́а̄стра-йонитва̄т,ш́а̄стра-йонитва̄т,,philosophical_term,ш́а̄стра-йонитва̄т,,yes,needs_review,,ш́а̄стра-йонитва̄т [5],vedabase_ru,vedabase_ru:index.html:ш́а̄стра-йонитва̄т,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15184,шастра-чакшуш,шастра-чакшуш,,philosophical_term,шастра-чакшуш,,yes,no_diacritics_in_prose,,шастра-чакшуш [1] | Шастра-чакшуш [1],vedabase_ru,vedabase_ru:index.html:шастра-чакшуш | vedabase_ru:index.html:Шастра-чакшуш,,needs_review,auto-generated draft,yes,шастра-чакшуш [1] | Шастра-чакшуш [1],vedabase_ru [2],high,review,,,,,,,
term-15185,ш́а̄страих̣,ш́а̄страих̣,,philosophical_term,ш́а̄страих̣,,yes,needs_review,,ш́а̄страих̣ [2],vedabase_ru,vedabase_ru:index.html:ш́а̄страих̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15186,шастрам,шастрам,,philosophical_term,шастрам,,yes,diacritics_in_quotes_only,,шастрам [18] | ш́а̄страм [9],vedabase_ru,vedabase_ru:index.html:ш́а̄страм | vedabase_ru:index.html:шастрам,,needs_review,auto-generated draft,yes,шастрам [18] | ш́а̄страм [9],vedabase_ru [27],high,review,,,,,,,
term-15187,шастрами,шастрами,,philosophical_term,шастрами,,yes,no_diacritics_in_prose,,шастрами [25],vedabase_ru,vedabase_ru:index.html:шастрами,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15188,ш́астра̄н̣и,ш́астра̄н̣и,,philosophical_term,ш́астра̄н̣и,,yes,needs_review,,ш́астра̄н̣и [2],vedabase_ru,vedabase_ru:index.html:ш́астра̄н̣и,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15189,шастрах,шастрах,,philosophical_term,шастрах,,yes,no_diacritics_in_prose,,шастрах [95],bvks_ru,vedabase_ru:index.html:шастрах | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шастрах,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15190,шастре,шастре,,philosophical_term,шастре,,yes,diacritics_in_quotes_only,,ш́а̄стре [45] | шастре [3],vedabase_ru,vedabase_ru:index.html:шастре | vedabase_ru:index.html:ш́а̄стре,,needs_review,auto-generated draft,yes,ш́а̄стре [45] | шастре [3],vedabase_ru [48],high,review,,,,,,,
term-15191,ш́астрен̣а,ш́астрен̣а,,philosophical_term,ш́астрен̣а,,yes,needs_review,,ш́астрен̣а [2],vedabase_ru,vedabase_ru:index.html:ш́астрен̣а,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15192,ш́а̄стрера,ш́а̄стрера,,philosophical_term,ш́а̄стрера,,yes,needs_review,,ш́а̄стрера [19],vedabase_ru,vedabase_ru:index.html:ш́а̄стрера,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
