id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-15442,шри адвайта ачарья,Шри Адвайта Ачарья,,honorific,Шри Адвайта Ачарья,,no,no_diacritics_in_prose,,Шри Адвайта Ачарья [14],vedabase_ru,"vedabase_ru:index.html:Шри Адвайта Ачарья — это воплощение Господа Чайтаньи, играющее роль преданного. Таким образом, три таттвы [Чайтанья Маха | vedabase_ru:index.html:Шри Адвайта Ачарья — это Сам Господь, Верховная Личность Бога. Обычным живым существам не дано постичь Его величие | vedabase_ru:index.html:Шри Адвайта Ачарья — полная экспансия этого пуруши, и потому Он неотличен от Него. Он неотделим от Маха-Вишну и является | vedabase_ru:index.html:Шри Адвайта Ачарья — главный духовный учитель всех вайшнавов и объект их поклонения. Вайшнавы должны следовать по стопам | vedabase_ru:index.html:Шри Адвайта Ачарья — главная экспансия Верховного Господа. Его внутренняя природа, имена и качества необычайны",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15443,шри кришна обнял меня,Шри Кришна обнял Меня,,honorific,Шри Кришна обнял Меня,,no,no_diacritics_in_prose,,Шри Кришна обнял Меня [2],vedabase_ru,"vedabase_ru:index.html:Шри Кришна обнял Меня, — думает Она. — Теперь Моя жизнь увенчалась успехом“. Так, прильнув к стволу дерева, Она поглощен",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15444,шри кришна чайтанья махапрабху,Шри Кришна Чайтанья Махапрабху,,honorific,Шри Кришна Чайтанья Махапрабху,,no,no_diacritics_in_prose,,Шри Кришна Чайтанья Махапрабху [1],vedabase_ru,"vedabase_ru:index.html:Шри Кришна Чайтанья Махапрабху — это Сам Господь, Личность Бога, и я простираюсь у Его лотосных стоп в бесчисленных покл",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15445,шри нитьянанда гошани,Шри Нитьянанда Гошани,,honorific,Шри Нитьянанда Гошани,,no,no_diacritics_in_prose,,Шри Нитьянанда Гошани [2],vedabase_ru,"vedabase_ru:index.html:Шри Нитьянанда Гошани — это Сам Халадхара [Господь Баларама], а Адвайта Ачарья — Сам Верховный Господь",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15446,шри нитьянанда прабху,Шри Нитьянанда Прабху,,honorific,Шри Нитьянанда Прабху,,no,no_diacritics_in_prose,,Шри Нитьянанда Прабху [4],vedabase_ru,vedabase_ru:index.html:Шри Нитьянанда Прабху — это могучая ветвь древа Шри Чайтаньи. От той ветви пошло множество побегов и отростков | vedabase_ru:index.html:Шри Нитьянанда Прабху — высочайшая ветвь нетленного древа вечной любви к Богу — Шри Кришны Чайтаньи Махапрабху. В почтен,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15447,шри нитьянанда рама,Шри Нитьянанда Рама,,honorific,Шри Нитьянанда Рама,,no,no_diacritics_in_prose,,Шри Нитьянанда Рама [1],vedabase_ru,"vedabase_ru:index.html:Шри Нитьянанда Рама — полное проявление Господа, и Он дал мне посвящение. Поэтому я с благоговением кланяюсь Его лотосны",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15448,шри радха,Шри Радха,,honorific,Шри Радха,,no,no_diacritics_in_prose,,Шри Радха [2],vedabase_ru,"vedabase_ru:index.html:Шри Радха — это абсолютная энергия, а Господь Кришна — владыка этой энергии. Они неотличны друг от друга, о чем свидетел",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15449,шри радха тхакурани,Шри Радха Тхакурани,,honorific,Шри Радха Тхакурани,,no,no_diacritics_in_prose,,Шри Радха Тхакурани [2],vedabase_ru,"vedabase_ru:index.html:Шри Радха Тхакурани — олицетворение махабхавы. Она — кладезь всех добродетелей, самый драгоценный камень в венце возлюбл",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15450,шри радхика,Шри Радхика,,honorific,Шри Радхика,,no,no_diacritics_in_prose,,Шри Радхика [2],vedabase_ru,"vedabase_ru:index.html:Шри Радхика — наивысшая обитель этой любви, а Я — тот единственный, на кого она обращена",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15451,ш́рӣ-виграха,ш́рӣ-виграха,,honorific,ш́рӣ-виграха,,yes,needs_review,,ш́рӣ-виграха [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-виграха,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15452,шрӣ-виграха̄ра̄дхана-нитйа-на̄на̄-ш́р̣н̇га̄ра-тан-мандира-ма̄рджана̄дау,Шрӣ-виграха̄ра̄дхана-нитйа-на̄на̄-ш́р̣н̇га̄ра-тан-мандира-ма̄рджана̄дау,,honorific,Шрӣ-виграха̄ра̄дхана-нитйа-на̄на̄-ш́р̣н̇га̄ра-тан-мандира-ма̄рджана̄дау,,yes,needs_review,,Шрӣ-виграха̄ра̄дхана-нитйа-на̄на̄-ш́р̣н̇га̄ра-тан-мандира-ма̄рджана̄дау [1],vedabase_ru,vedabase_ru:index.html:Шрӣ-виграха̄ра̄дхана-нитйа-на̄на̄-ш́р̣н̇га̄ра-тан-мандира-ма̄рджана̄дау,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15453,ш́рӣ-виграхи,Ш́рӣ-виграхи,,honorific,Ш́рӣ-виграхи,,yes,needs_review,,Ш́рӣ-виграхи [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Ш́рӣ-виграхи,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15454,ш́рӣ-гурудева,ш́рӣ-гурудева,,honorific,ш́рӣ-гурудева,,yes,needs_review,,ш́рӣ-гурудева [4],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-гурудева,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15455,ш́рӣ-гурудеве,ш́рӣ-гурудеве,,honorific,ш́рӣ-гурудеве,,yes,needs_review,,ш́рӣ-гурудеве [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-гурудеве,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15456,ш́рӣ-гурудеву,ш́рӣ-гурудеву,,honorific,ш́рӣ-гурудеву,,yes,needs_review,,ш́рӣ-гурудеву [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-гурудеву,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15457,ш́рӣ-гурудевы,ш́рӣ-гурудевы,,honorific,ш́рӣ-гурудевы,,yes,needs_review,,ш́рӣ-гурудевы [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-гурудевы,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15458,шри-кришна-санкиртане,шри-кришна-санкиртане,,honorific,шри-кришна-санкиртане,,yes,no_diacritics_in_prose,,шри-кришна-санкиртане [1],bvks_ru,bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шри-кришна-санкиртане,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15459,шри-кришна-чайтанья прабху-нитьянанда,шри-кришна-чайтанья прабху-нитьянанда,,honorific,шри-кришна-чайтанья прабху-нитьянанда,,yes,no_diacritics_in_prose,,шри-кришна-чайтанья прабху-нитьянанда [2],vedabase_ru,vedabase_ru:index.html:шри-кришна-чайтанья прабху-нитьянанда,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15460,ш́рӣ-кр̣ш̣н̣а-сан̇кӣртаны,ш́рӣ-кр̣ш̣н̣а-сан̇кӣртаны,,honorific,ш́рӣ-кр̣ш̣н̣а-сан̇кӣртаны,,yes,needs_review,,ш́рӣ-кр̣ш̣н̣а-сан̇кӣртаны [2],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:ш́рӣ-кр̣ш̣н̣а-сан̇кӣртаны,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15461,ш́рӣ-лакшми,ш́рӣ-лакшми,,honorific,ш́рӣ-лакшми,,yes,needs_review,,ш́рӣ-лакшми [2],vedabase_ru,vedabase_ru:index.html:ш́рӣ-лакшми,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15462,шри-мурти,шри-мурти,,honorific,шри-мурти,,yes,no_diacritics_in_prose,,шри-мурти [2],vedabase_ru,vedabase_ru:index.html:шри-мурти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15463,ш́рӣ-ра̄джова̄ча,ш́рӣ-ра̄джова̄ча,,honorific,ш́рӣ-ра̄джова̄ча,,yes,needs_review,,ш́рӣ-ра̄джова̄ча [1],vedabase_ru,vedabase_ru:index.html:ш́рӣ-ра̄джова̄ча,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15464,ш́рӣва̄са,ш́рӣва̄са,,honorific,ш́рӣва̄са,,yes,needs_review,,ш́рӣва̄са [60],vedabase_ru,vedabase_ru:index.html:ш́рӣва̄са,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15465,ш́рӣва̄се,ш́рӣва̄се,,honorific,ш́рӣва̄се,,yes,needs_review,,ш́рӣва̄се [6],vedabase_ru,vedabase_ru:index.html:ш́рӣва̄се,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15466,ш́рӣва̄сера,ш́рӣва̄сера,,honorific,ш́рӣва̄сера,,yes,needs_review,,ш́рӣва̄сера [12],vedabase_ru,vedabase_ru:index.html:ш́рӣва̄сера,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15467,ш́рӣва̄сере,ш́рӣва̄сере,,honorific,ш́рӣва̄сере,,yes,needs_review,,ш́рӣва̄сере [6],vedabase_ru,vedabase_ru:index.html:ш́рӣва̄сере,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15468,ш́рӣватса,ш́рӣватса,,honorific,ш́рӣватса,,yes,needs_review,,ш́рӣватса [3],vedabase_ru,vedabase_ru:index.html:ш́рӣватса,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15469,ш́рӣда̄ма,ш́рӣда̄ма,,honorific,ш́рӣда̄ма,,yes,needs_review,,ш́рӣда̄ма [2],vedabase_ru,vedabase_ru:index.html:ш́рӣда̄ма,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15470,ш́рӣдхара,ш́рӣдхара,,honorific,ш́рӣдхара,,yes,needs_review,,ш́рӣдхара [5],vedabase_ru,vedabase_ru:index.html:ш́рӣдхара,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15471,ш́рӣдхарера,ш́рӣдхарера,,honorific,ш́рӣдхарера,,yes,needs_review,,ш́рӣдхарера [2],vedabase_ru,vedabase_ru:index.html:ш́рӣдхарера,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15472,ш́рийа̄,ш́рийа̄,,honorific,ш́рийа̄,,yes,needs_review,,ш́рийа̄ [5],vedabase_ru,vedabase_ru:index.html:ш́рийа̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15473,ш́рийам,ш́рийам,,honorific,ш́рийам,,yes,needs_review,,ш́рийам [7],vedabase_ru,vedabase_ru:index.html:ш́рийам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15474,ш́рийах̣,ш́рийах̣,,honorific,ш́рийах̣,,yes,needs_review,,ш́рийах̣ [6],vedabase_ru,vedabase_ru:index.html:ш́рийах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15475,ш́рийе,ш́рийе,,honorific,ш́рийе,,yes,needs_review,,ш́рийе [1],vedabase_ru,vedabase_ru:index.html:ш́рийе,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
