id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-08692,ма̄та̄йа,ма̄та̄йа,,personal_name,ма̄та̄йа,,yes,needs_review,,ма̄та̄йа [2],vedabase_ru,vedabase_ru:index.html:ма̄та̄йа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08693,матайах̣,матайах̣,,personal_name,матайах̣,,yes,needs_review,,матайах̣ [3],vedabase_ru,vedabase_ru:index.html:матайах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08694,матаих̣,матаих̣,,personal_name,матаих̣,,yes,needs_review,,матаих̣ [2],vedabase_ru,vedabase_ru:index.html:матаих̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08695,ма̄та̄ке,ма̄та̄ке,,personal_name,ма̄та̄ке,,yes,needs_review,,ма̄та̄ке [8],vedabase_ru,vedabase_ru:index.html:ма̄та̄ке,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08696,матам,матам,,personal_name,матам,,yes,diacritics_in_quotes_only,,матам [10] | мата̄м [7],vedabase_ru,vedabase_ru:index.html:мата̄м | vedabase_ru:index.html:матам,,needs_review,auto-generated draft,yes,матам [10] | мата̄м [7],vedabase_ru [17],high,review,,,,,,,
term-08697,ма̄та̄ра,ма̄та̄ра,,personal_name,ма̄та̄ра,,yes,needs_review,,ма̄та̄ра [12],vedabase_ru,vedabase_ru:index.html:ма̄та̄ра,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08698,ма̄тарам,ма̄тарам,,personal_name,ма̄тарам,,yes,needs_review,,ма̄тарам [1],vedabase_ru,vedabase_ru:index.html:ма̄тарам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08699,ма̄тарах̣,ма̄тарах̣,,personal_name,ма̄тарах̣,,yes,needs_review,,ма̄тарах̣ [1],vedabase_ru,vedabase_ru:index.html:ма̄тарах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08700,ма̄тариш́ва̄,ма̄тариш́ва̄,,personal_name,ма̄тариш́ва̄,,yes,needs_review,,ма̄тариш́ва̄ [2],vedabase_ru,vedabase_ru:index.html:ма̄тариш́ва̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08701,матах̣,матах̣,,personal_name,матах̣,,yes,needs_review,,матах̣ [12] | мата̄х̣ [2],vedabase_ru,vedabase_ru:index.html:матах̣ | vedabase_ru:index.html:мата̄х̣,,needs_review,auto-generated draft,yes,матах̣ [12] | мата̄х̣ [2],vedabase_ru [14],high,review,,,,,,,
