id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-13004,скандхам,скандхам,,place_name,скандхам,,yes,no_diacritics_in_prose,,скандхам [1],vedabase_ru,vedabase_ru:index.html:скандхам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13014,см. «гауд̣ӣя мат̣х,См. «Гауд̣ӣя Мат̣х,,place_name,См. «Гауд̣ӣя Мат̣х,,no,needs_review,,См. «Гауд̣ӣя Мат̣х [1],bvks_ru,"bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:См. «Гауд̣ӣя Мат̣х – единственный путь?» (том 3, стр. 49-52)",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13286,судхам,судхам,,place_name,судхам,,yes,no_diacritics_in_prose,,судхам [1],vedabase_ru,vedabase_ru:index.html:судхам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13287,судха̄м̇ш́у,судха̄м̇ш́у,,place_name,судха̄м̇ш́у,,yes,needs_review,,судха̄м̇ш́у [2],vedabase_ru,vedabase_ru:index.html:судха̄м̇ш́у,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13821,тримат̣ха,тримат̣ха,,place_name,тримат̣ха,,yes,needs_review,,тримат̣ха [2],vedabase_ru,vedabase_ru:index.html:тримат̣ха,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14087,унматхйа,унматхйа,,place_name,унматхйа,,yes,no_diacritics_in_prose,,унматхйа [1],vedabase_ru,vedabase_ru:index.html:унматхйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14918,чинтамани-дхамой,чинтамани-дхамой,,place_name,чинтамани-дхамой,,yes,no_diacritics_in_prose,,чинтамани-дхамой [3],vedabase_ru,vedabase_ru:index.html:чинтамани-дхамой,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15414,ш́раддха̄м,ш́раддха̄м,,place_name,ш́раддха̄м,,yes,needs_review,,ш́раддха̄м [4],vedabase_ru,vedabase_ru:index.html:ш́раддха̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15567,шуддхам,шуддхам,,place_name,шуддхам,,yes,diacritics_in_quotes_only,,ш́уддхам [4] | шуддхам [2] | ш́уддха̄м [2],vedabase_ru,vedabase_ru:index.html:ш́уддхам | vedabase_ru:index.html:шуддхам | vedabase_ru:index.html:ш́уддха̄м,,needs_review,auto-generated draft,yes,ш́уддхам [4] | шуддхам [2] | ш́уддха̄м [2],vedabase_ru [8],high,review,,,,,,,
term-15648,эдхама̄на-мадах̣,эдхама̄на-мадах̣,,place_name,эдхама̄на-мадах̣,,yes,needs_review,,эдхама̄на-мадах̣ [1],vedabase_ru,vedabase_ru:index.html:эдхама̄на-мадах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15649,эдха̄м̇си,эдха̄м̇си,,place_name,эдха̄м̇си,,yes,needs_review,,эдха̄м̇си [2],vedabase_ru,vedabase_ru:index.html:эдха̄м̇си,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15792,ямуна,Ямуна,,place_name,Ямуна,,no,no_diacritics_in_prose,,Ямуна [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ямуна — священная река, истоки которой находятся в Гималаях. В Праяге сливается с Гангой",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15793,ямунакаршана-лила,Ямунакаршана-лила,,place_name,Ямунакаршана-лила,,yes,no_diacritics_in_prose,,Ямунакаршана-лила [2],vedabase_ru,vedabase_ru:index.html:Ямунакаршана-лила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15794,ямунакаршана-лилу,ямунакаршана-лилу,,place_name,ямунакаршана-лилу,,yes,no_diacritics_in_prose,,ямунакаршана-лилу [2],vedabase_ru,vedabase_ru:index.html:ямунакаршана-лилу,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15795,ямунакаршана-лилы,ямунакаршана-лилы,,place_name,ямунакаршана-лилы,,yes,no_diacritics_in_prose,,ямунакаршана-лилы [2],vedabase_ru,vedabase_ru:index.html:ямунакаршана-лилы,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
